the_geom;OBJECTID;CIV_1;PK_ID;Fecha_Fina;Estrategia;Programa;Zonas;Nombre_Loc;UPZ;Barrio;Tipo_de_In;Tipo_Malla;Eje_Vial_1;Tramo_Inic;Tramo_Fina;Longitud_S;Ancho__Seg;Km_Carril_;Km_Lineal;Km_Carril1;Longitud_B;Tipo_de_Ac;Estado_Eje;Mes_Report;Fusion_CIV;Fusion_PK_;Grupo_Cont;Ingeniero_;Director_d;TOTAL_AREA;LONGITUD_I;ASFALTO_PO;TOTAL_MEZC;GRANO_CAUC;CONCRETO_M;FRESADO_ES;No__HUECOS;SHAPE_Leng;SHAPE_Area
MULTIPOLYGON (((-74.04125907899999 4.721334665000029, -74.04125937099997 4.721330660000035, -74.04126046399995 4.721315711000045, -74.04126594599995 4.721240698000032, -74.04126993599994 4.721232432000022, -74.04127298899994 4.721141253000042, -74.04127432499996 4.721122237000031, -74.04127727699995 4.721080204000032, -74.04127777399998 4.721073958000034, -74.04127827399998 4.72106769100003, -74.04127827599996 4.7210676640000315, -74.04129275999998 4.7208421240000575, -74.04129597699995 4.72080178300007, -74.04130131899996 4.720731994000062, -74.04130297199998 4.72073208300003, -74.04137169399996 4.720735760000025, -74.04137752199995 4.720736072000022, -74.04135539899994 4.721007163000024, -74.04133303799995 4.721304789000044, -74.04133240799996 4.721313261000034, -74.04133043999998 4.721343215000047, -74.04132781799996 4.721342901000071, -74.04125907899999 4.721334665000029)));1;1,003,788;525.05;Tue Feb 04 00:00:00 COT 2020;Situaciones Imprevistas y Apoyo Interinstitucional;IMV-PR-003;Zona 01;USAQUEN;LOS CEDROS;CEDRITOS;Mantenimiento;AR;AK 15;CL 139;CL 140;67.08;8.12;0.16;0;0.01;0;PA;Terminado;Febrero;0;0;Parcheo;XIMENA VARGAS;ING.MARY LUZ MORA/ ING. ANGEL RICARDO IBAGON;15.51;0;0;3.26;0;0;0;16;136.203.328.049;443.747.589.444
MULTIPOLYGON (((-74.09533085599998 4.672230611000032, -74.09532653502488 4.672230954976624, -74.09532221768706 4.672230568014287, -74.0953180267536 4.672229461116614, -74.09531408139718 4.67222766575916, -74.09531049380728 4.672225232994402, -74.09530736599999 4.672222232000024, -74.09512815099998 4.672110453000073, -74.09512529499995 4.672108672000036, -74.09512406837194 4.672107662004457, -74.09512271326992 4.6721068323022195, -74.09512125599997 4.672106199000041, -74.09506177099996 4.672066104000066, -74.09507413999995 4.672049159000039, -74.09511824699996 4.671988739000028, -74.09519686799996 4.672044650000032, -74.09520213099995 4.6720482520000255, -74.09520395699997 4.672049172000072, -74.09520578199994 4.6720500900000275, -74.09520767699996 4.67205093900003, -74.09526972699996 4.672093462000021, -74.09529197499995 4.6721097060000725, -74.09538111399996 4.672172989000046, -74.09544307599998 4.672216683000045, -74.095523841 4.672275017000061, -74.09555596299998 4.672297504000028, -74.09555854399997 4.672299353000028, -74.09560767699998 4.672334567000064, -74.09557031599996 4.672390405000044, -74.09535198099996 4.672235616000023, -74.0953470333495 4.672233211568667, -74.09534178772878 4.6722315550666895, -74.09533635649976 4.672230681976577, -74.09533085599998 4.672230611000032)));2;10,009,414;511.242;Wed Jun 24 00:00:00 COT 2020;Infraestructura y Gestion de Transito;Ciclocarriles;Zona 02;ENGATIVA;LAS FERIAS;BOSQUE POPULAR;Mantenimiento;CM;AC 64C;KR 69;KR 69A;66.67;8.78;0.2;0;0.06;0;PA;Terminado;Junio;0;0;Parcheo;CESAR AUGUSTO PINTO BARRIOS;ING. MARY LUZ MORA / ING. ALEXANDER SANDOVAL;165.93;0;0;35.66;0;0;0;166;136.914.470.919;476.523.416.035
MULTIPOLYGON (((-74.12070656799995 4.524366487000066, -74.12089531199996 4.524163005000048, -74.12092872799997 4.524194221000073, -74.12073998399995 4.524397704000023, -74.12070656799995 4.524366487000066)));3;5,000,867;291.866;Mon Jan 20 00:00:00 COT 2020;Infraestructura y Gestion de Transito;Misionalidad;Zona 04;USME;GRAN YOMASA;NUEVO SAN ANDRES;Mantenimiento;LO;DG 69A S;TV 14PBISA;TV 14Q;30.75;5.07;0.05;0;0;0;PA;Terminado;Enero;0;0;Parcheo;CESAR AUGUSTO PINTO BARRIOS;ING.CARLOS CASTAÑO/ING. ALEXANDER SANDOVAL;60;0;0;8.54;0;0;0;3;64.654.057.879;126.914.982.958
MULTIPOLYGON (((-74.14681805699996 4.597765004000053, -74.14681738196937 4.597757816405665, -74.14681583899994 4.597750764000068, -74.14668993499998 4.597444410000037, -74.14667487599996 4.597407687000043, -74.14660527299998 4.597238195000045, -74.14655910699997 4.5971259790000545, -74.14650836599998 4.597002533000023, -74.14647718899994 4.596926544000041, -74.14647338299994 4.596917280000071, -74.14652124299994 4.596896980000054, -74.14652553899998 4.59690740700006, -74.14655995299995 4.596990739000034, -74.14667719999994 4.597275767000042, -74.14670140799996 4.597334664000073, -74.14678360799996 4.597533393000049, -74.14686496299998 4.597730002000048, -74.14686640154616 4.597735041995559, -74.1468684177067 4.597739879977218, -74.14687098399997 4.59774445000005, -74.14687528760197 4.597750120753253, -74.1468804386485 4.597755034524886, -74.14688630590136 4.59775906612205, -74.14689273987491 4.5977621128278505, -74.1468995766446 4.597764097018422, -74.14690664202345 4.597764968140627, -74.14691375599995 4.597764704000042, -74.14685079699996 4.597790946000032, -74.14679406899995 4.597814591000031, -74.1468012583588 4.5978083223260295, -74.14680734797372 4.597800980681477, -74.14681217983994 4.597792756557009, -74.14681562858705 4.597783863340608, -74.1468176047318 4.597774531780907, -74.14681805699996 4.597765004000053)));4;8,011,565;148.982;Mon Feb 24 00:00:00 COT 2020;Infraestructura y Gestion de Transito;Misionalidad;Zona 05;KENNEDY;CARVAJAL;LAS DELICIAS;Mantenimiento;LO;CL 44G S;TV 72BIS;TV 72A;105.35;5.94;0.21;0;0;0;PA;Terminado;Febrero;0;0;Parcheo;CESAR AUGUSTO PINTO BARRIOS;ING.MARY LUZ MORA / ING. JESUS FORERO;185.61;0;0;30.35;0;0;0;120;212.125.722.185;509.828.824.233
MULTIPOLYGON (((-74.08132624299998 4.587448349000056, -74.08133202599998 4.587430033000032, -74.08134843699997 4.587384628000052, -74.08140841299996 4.587252384000067, -74.08145472099994 4.587176557000021, -74.08145498499994 4.5871761120000665, -74.08147263499995 4.5871456670000725, -74.08148175299993 4.587129998000023, -74.08148219999998 4.58712919200002, -74.08157883099994 4.586955428000067, -74.08167787899998 4.586774624000043, -74.08173091999998 4.586676779000072, -74.08174438799995 4.5866519360000675, -74.08174708294888 4.586646198318253, -74.08174884100127 4.586640107916455, -74.08174961831116 4.586633816689892, -74.08174939549232 4.586627481542374, -74.0817481781019 4.586621260473103, -74.08174599650172 4.5866153086361585, -74.08174290510114 4.58660977447094, -74.08173898099994 4.586604796000074, -74.08181851399996 4.5866453210000495, -74.08181668499998 4.58664609300007, -74.08181382319012 4.586647725886342, -74.08181123433886 4.586649764052804, -74.08180897538197 4.586652162674733, -74.08180709599999 4.586654869000029, -74.08180618099993 4.586656513000037, -74.08179812499998 4.586670980000065, -74.08171515599997 4.586819988000059, -74.08158143199995 4.587085702000024, -74.081574592 4.587098481000055, -74.08151289399996 4.587214667000069, -74.08145735199997 4.587318398000036, -74.08143287809247 4.587350169306458, -74.08141212307369 4.587384485734803, -74.08139534899993 4.587420914000063, -74.08139412550595 4.5874253825447875, -74.08139334299995 4.587429949000068, -74.08137907999998 4.587469714000065, -74.08132624299998 4.587448349000056)));5;50,005,948;91,010,575;Tue Jun 09 00:00:00 COT 2020;Infraestructura y Gestion de Transito;Ciclocarriles;Zona 03;SANTA FE;LAS CRUCES;LAS CRUCES;Mantenimiento;CM;KR 7;CL 1;CL 1C;103.88;6.88;0.24;0;0.09;0;PA;Terminado;Junio;0;0;Parcheo;KAREM VANESSA LEGUIZAMON LISCANO;ING. MARY LUZ MORA / ING. ANGEL RICARDO IBAGON;281.5;0;0;32;0;0;0;282;203.510.000.912;581.261.098.138
MULTIPOLYGON (((-74.12033517099997 4.514223661000074, -74.12041227099996 4.514211386000056, -74.12045437799998 4.514477750000026, -74.12037600399998 4.5144902280000565, -74.12033935499994 4.514250127000026, -74.12033517099997 4.514223661000074)));6;50,005,081;91,015,915;Mon Jan 20 00:00:00 COT 2020;Infraestructura y Gestion de Transito;Misionalidad;Zona 04;USME;GRAN YOMASA;SAN JUAN BAUTISTA;Mantenimiento;CM;KR 14R;CL 74C S;CL 74CBIS S;33.3;8.91;0.1;0;0;0;CC;Terminado;Enero;0;0;Cambio de Carpeta;CAMILO ROJAS;ING.MANUEL AVILA / ING. SAMUEL SANCHEZ;296.74;0;0;53,383;0;0;0;0;696.780.373.318;212.101.669.546
MULTIPOLYGON (((-74.120308036 4.514052011000047, -74.12038511999998 4.514039635000074, -74.12041227099996 4.514211386000056, -74.12033517099997 4.514223661000074, -74.120308036 4.514052011000047)));7;50,005,080;91,015,916;Mon Jan 20 00:00:00 COT 2020;Infraestructura y Gestion de Transito;Misionalidad;Zona 04;USME;GRAN YOMASA;SAN JUAN BAUTISTA;Mantenimiento;CM;KR 14R;CL 74CBIS S;CL 74D S;19.46;8.57;0.06;0;0;0;CC;Terminado;Enero;0;0;Cambio de Carpeta;CAMILO ROJAS;ING.MANUEL AVILA / ING. SAMUEL SANCHEZ;166.17;0;0;31,443;0;0;0;0;50.380.758.499;135.712.859.921
MULTIPOLYGON (((-74.03178625499999 4.746265552000068, -74.03179216699994 4.746046071000023, -74.03180263499998 4.745647889000054, -74.03181839499996 4.745061163000059, -74.03182968399994 4.744639865000067, -74.03183420599998 4.744460110000034, -74.03183578599999 4.7443972970000345, -74.03192176099998 4.7443995780000705, -74.03191984699998 4.7444627410000635, -74.03191540099994 4.744609476000051, -74.03191539999995 4.744609518000061, -74.03191539699998 4.7446095670000545, -74.03191539699998 4.7446096020000255, -74.03191539399995 4.744609660000037, -74.03191534699994 4.7446112560000415, -74.03191441499996 4.744654540000056, -74.03191359199997 4.744690624000043, -74.03191251599998 4.744731371000057, -74.03191108599998 4.744787527000028, -74.03191057799997 4.744807506000029, -74.03190975099994 4.744839986000045, -74.03190698699996 4.744948601000033, -74.03190583799994 4.744985040000074, -74.03190468699995 4.7450214810000375, -74.03190283199996 4.745093975000032, -74.03190243499995 4.745109502000048, -74.03190097699996 4.745166470000072, -74.03189995799994 4.745202756000026, -74.03189893899997 4.745239042000037, -74.03189795599997 4.745275043000049, -74.03189697299996 4.745311043000072, -74.03189605999995 4.745347259000027, -74.03189514699994 4.745383476000029, -74.03189320599995 4.7454561680000324, -74.03189126499996 4.745528860000036, -74.03189068199998 4.7455516600000465, -74.03189016499995 4.745571857000073, -74.03188942899999 4.745600610000054, -74.03188845299997 4.745637092000038, -74.03188747799999 4.745673574000023, -74.03188650099997 4.74570995800002, -74.03188552499995 4.745746342000075, -74.03188452399996 4.745785672000068, -74.03188263499999 4.745858832000067, -74.03188174599997 4.745892661000028, -74.03188125599996 4.745910612000046, -74.03188076499998 4.745928563000064, -74.03188024299999 4.745946622000076, -74.03187972099994 4.745964681000032, -74.03187878799997 4.746000821000052, -74.03187785499995 4.746036960000026, -74.03187740499999 4.746055000000069, -74.03187695499997 4.746073041000045, -74.03187649599994 4.746091489000037, -74.03187603699996 4.746109939000064, -74.03187512899996 4.746145660000025, -74.03187422199996 4.746181382000032, -74.03187417299995 4.746183183000028, -74.031873562 4.746204448000072, -74.03187329099995 4.746213878000049, -74.03187311799996 4.74622146400003, -74.03187183899996 4.746267873000022, -74.03178625499999 4.746265552000068)));8;1,001,502;91,010,967;Tue Jun 02 00:00:00 COT 2020;Situaciones Imprevistas y Apoyo Interinstitucional;Ciclocarriles;Zona 01;USAQUEN;TOBERIN;LA PRADERA NORTE;Mantenimiento;AR;AK 9;CL 166;CL 168;206.75;9.48;0.56;0;0.02;0;PA;Terminado;Junio;0;0;Parcheo;JESICA ALEXANDRA ARDILA DÍAZ;ING. ORLANDO RIVERA/ING. SANTIAGO VARGAS;61.76;0;0;15.01;0;0;0;62;390.949.844.612;159.624.181.206
MULTIPOLYGON (((-74.03794142499999 4.714620249000063, -74.03796744899995 4.71454499500004, -74.03800694499995 4.714559429000076, -74.03822049299998 4.71463747100006, -74.03829347699997 4.7146659020000365, -74.03839310099994 4.714700551000021, -74.03878523299994 4.714832502000036, -74.03980622599994 4.715187975000049, -74.04016143899997 4.715314874000057, -74.04035523999994 4.715381313000023, -74.04069312699995 4.7155018120000705, -74.04093312699996 4.71558740100005, -74.04118264199997 4.715676604000066, -74.04145824599993 4.71577766200005, -74.04177072599998 4.715894472000059, -74.04177627999997 4.715896332000057, -74.04180747499998 4.715906779000022, -74.04178411999999 4.715972702000045, -74.04172401099999 4.715952643000037, -74.04171448899996 4.715949116000047, -74.04162069699998 4.715914379000026, -74.04108737899999 4.715722387000028, -74.03991172199996 4.715308922000077, -74.03977716099996 4.715261783000074, -74.03972624799997 4.715243947000033, -74.03967279299997 4.715225221000026, -74.03801543099996 4.714643367000065, -74.03800970699996 4.7146424130000355, -74.03794142499999 4.714620249000063)));9;1,008,108;91,030,483;Wed Jun 17 00:00:00 COT 2020;Situaciones Imprevistas y Apoyo Interinstitucional;IMV-PR-003;Zona 01;USAQUEN;LOS CEDROS;LISBOA;Mantenimiento;AR;AC 134;KR 11B;KR 13;452.16;8.42;1.09;0;0.02;0;PA;Terminado;Junio;0;0;Parcheo;KAREM VANESSA LEGUIZAMON LISCANO;ING. MARY LUZ MORA / ING. ANGEL RICARDO IBAGON;77.84;0;0;13.37;0;0;0;78;829.801.329.231;309.899.825.217
MULTIPOLYGON (((-74.05978364099997 4.736994860000038, -74.05985472299994 4.7362541740000665, -74.05985558010866 4.736240807166539, -74.05985450105095 4.736227456417184, -74.05985150837547 4.736214400737675, -74.05984666461907 4.736201912947726, -74.05984007099994 4.736190254000064, -74.05983463115554 4.736182896804702, -74.05982848999997 4.736176114000045, -74.05981983799995 4.736168482000039, -74.05980805622062 4.736160704976834, -74.0597952231246 4.736154822455219, -74.05978164099997 4.736150973000065, -74.05982106399995 4.736155709000059, -74.05989340699995 4.736164403000032, -74.05989437899996 4.736164520000045, -74.05997057999997 4.736173678000057, -74.06000911699994 4.736178314000028, -74.0599973582703 4.736179904475177, -74.05998601679259 4.736183392772465, -74.0599753967166 4.736188685344591, -74.05996578284582 4.736195640258171, -74.05995743299997 4.7362040710000315, -74.05994924292895 4.73621351811696, -74.05994254257392 4.736224074182714, -74.05993747976554 4.736235506297694, -74.05993416620508 4.736247562233936, -74.05993267499997 4.736259976000042, -74.05993076599998 4.736279895000052, -74.05992498799998 4.736340171000052, -74.05991958999994 4.736396489000072, -74.05990619699998 4.736536202000026, -74.05989714499998 4.736630628000057, -74.05989595199998 4.736643070000071, -74.05987778299993 4.736832622000065, -74.05988202790678 4.736837708179386, -74.05988692451241 4.736842170433033, -74.05989238199999 4.736845926000058, -74.05990841199997 4.736847684000054, -74.05990658399998 4.736867782000047, -74.05990451899999 4.736892444000034, -74.05989452099993 4.736890770000059, -74.05989137886291 4.736890209171134, -74.05988818721099 4.736890178969913, -74.0598850350238 4.736890680238373, -74.05988201018076 4.736891699001716, -74.05987919701109 4.736893206857974, -74.05987667394275 4.736895161769817, -74.05987451131605 4.736897509236516, -74.05987276942257 4.736900183813354, -74.05987149682434 4.736903110936153, -74.05987072899995 4.73690620900004, -74.05985423499999 4.737078272000076, -74.05985118099994 4.737105318000033, -74.05980791999997 4.73748839700005, -74.05978647499995 4.737678290000076, -74.05976969399995 4.73789217500007, -74.05976820799998 4.737911119000046, -74.05974796699998 4.7381769650000365, -74.05974429899999 4.738225137000029, -74.05973938599993 4.73827639700005, -74.05972847899994 4.738390177000042, -74.05972994326376 4.7384016373298055, -74.05973323919599 4.738412710723933, -74.05973828025883 4.738423106439987, -74.0597449340944 4.738432551528606, -74.05975302599995 4.738440798000056, -74.05975162899995 4.738455367000029, -74.05974509799995 4.7385235010000315, -74.05968044299993 4.7385183400000415, -74.05967696599998 4.738518062000026, -74.05961200499996 4.7385128760000725, -74.05961728699998 4.73845379100004, -74.05962671023723 4.738446040742255, -74.05963473555656 4.73843685063095, -74.05964114584155 4.738426469294709, -74.05964576766888 4.738415177589425, -74.05964847599995 4.738403281000046, -74.05971198299994 4.737622550000026, -74.05971317999996 4.737609935000023, -74.05971946999995 4.737543639000023, -74.05972690299996 4.737465298000075, -74.05978364099997 4.736994860000038)));10;30,001,411;903.22;Sat Jan 18 00:00:00 COT 2020;Infraestructura y Gestion de Transito;IMV-PR-003;Zona 01;SUBA;EL PRADO;MAZUREN;Mantenimiento;CM;KR 56;CL 152;CL 152B;261.49;9.29;0.81;0;0;0;PA/SF;Terminado;Enero;0;0;Parcheo;XIMENA VARGAS;ING.CARLOS CASTAÑO/ ING. ANGEL RICARDO IBAGON;1,583.65;300;428,571,428,571;228.49;0;0;0;1.38;523.364.406.381;197.690.271.377
